names	ranges_mean	ranges_max	rangesc_mean	rangesc_max
EHD2	4.7920759360583345	36.20487106017192	1.7296679854015933	5.543103448275862
GLTSCR2	2.4072640557756824	7.030117160578912	1.1931236504896476	2.788854274835584
SNORD23	5.365358394825411	15.53093758443664	2.4363047147414085	4.033179222192004
GLTSCR2-AS1	4.98164527546211	19.010845986984815	2.340469277710539	3.9547038327526134
SELENOW	2.460218147288577	7.105938697318007	1.2030300948554977	3.8863854266538826
RPL23AP80	10.165575046663875	51.215161649944264	3.4613969168396146	17.982515131136516
TPRX1	1.274105374984778	37.84049079754602	0.4787044334797881	10.249180327868853
CRX	48.86651419860863	1584.3971631205673	3.584640757100369	13.162790697674419
TPRX2P	0.10200142821299674	5.508077123501824	0.054156378600823056	2.924444444444445
LINC01595	17.183596610528006	385.7707509881423	5.66717004258569	131.65388828039428
SULT2A1	377.10915197286096	3698.653198653198	8.754220166410308	65.22998296422487
BSPH1	0.4184580092190282	9.04607843137255	0.17703177095273084	3.5679133858267718
ELSPBP1	28.432709544625094	1393.1958762886597	0.47279841652646903	23.39755351681957
CABP5	18.86420315629098	931.0104529616724	0.7400438314188131	7.5177304964539005
PLA2G4C	5.194823355410101	18.715009746588695	2.3982752659183837	8.915520628683694
PLA2G4C-AS1	9.59113440253802	28.778004073319757	3.80244940800522	7.780701754385965
LIG1	3.6369230362919573	11.799696969696969	1.701613090426639	4.717804363124559
CTC-453G23.5	9.479720418475798	56.187594553706504	3.9061513831904753	11.835616438356166
CTC-453G23.4	1.8121300684656039	25.4985590778098	0.6196387946270151	6.78605858361142
C19orf68	2.1824778852549063	6.076201505500869	1.2493809023203388	2.209232742038897
CARD8	3.1201233654250498	8.26262245666918	1.3929287944187554	3.1310647639956097
CTC-453G23.7	6.944477164926217	28.245450303313113	3.4373704761396757	5.66553767993226
CTC-453G23.8	7.475716996961855	15.751748251748252	3.5492165201502446	6.236632150738415
CARD8-AS1	3.9997917743588576	17.84951795445019	1.7512231861675331	4.329387003420153
CTC-241F20.4	1.4823521241485966	18.08091286307054	0.7959509590586175	8.379523964786436
ZNF114	8.089603066854	78.4177654406662	2.9038829294675015	8.767567567567568
CCDC114	22.815712647382412	173.1015917602996	5.814326081152506	31.49194756554307
EMP3	5.856995420200584	20.858829568788504	1.9931677647945834	6.9663700056807425
TMEM143	2.1932826196230835	6.630833333333334	1.2005096047408716	2.332951323964051
SYNGR4	14.461813873882557	152.44444444444443	3.1923063611726272	9.70949720670391
